2026-07-20T03:10:27Z INFO:     2604:2dc0:208:2271:2dbe:7836:6624:8223:0 - "GET /billing/plans HTTP/1.1" 200 OK
2026-07-20T03:10:35Z INFO:     2604:2dc0:208:2271:2dbe:7836:6624:8223:0 - "POST /auth/login HTTP/1.1" 200 OK
2026-07-20T03:10:35Z INFO:     2604:2dc0:208:2271:2dbe:7836:6624:8223:0 - "GET /agents HTTP/1.1" 200 OK
2026-07-20T03:10:35Z INFO:     2604:2dc0:208:2271:2dbe:7836:6624:8223:0 - "GET /approvals?status=pending HTTP/1.1" 200 OK
2026-07-20T03:10:36Z INFO:     2604:2dc0:208:2271:2dbe:7836:6624:8223:0 - "GET /agents HTTP/1.1" 200 OK
2026-07-20T03:10:36Z INFO:     2604:2dc0:208:2271:2dbe:7836:6624:8223:0 - "GET /billing/entitlement HTTP/1.1" 200 OK
2026-07-20T03:10:36Z INFO:     2604:2dc0:208:2271:2dbe:7836:6624:8223:0 - "GET /workspaces/settings HTTP/1.1" 200 OK
2026-07-20T03:10:36Z INFO:     2604:2dc0:208:2271:2dbe:7836:6624:8223:0 - "GET /billing/subscription HTTP/1.1" 200 OK
2026-07-20T03:10:36Z INFO:     2604:2dc0:208:2271:2dbe:7836:6624:8223:0 - "GET /agents/runs HTTP/1.1" 200 OK
2026-07-20T03:10:36Z INFO:     2604:2dc0:208:2271:2dbe:7836:6624:8223:0 - "GET /approvals?status=pending HTTP/1.1" 200 OK
2026-07-20T03:10:36Z INFO:     2604:2dc0:208:2271:2dbe:7836:6624:8223:0 - "GET /stories HTTP/1.1" 200 OK
2026-07-20T03:10:36Z INFO:     2604:2dc0:208:2271:2dbe:7836:6624:8223:0 - "GET /analytics/funnel?period=all HTTP/1.1" 200 OK
2026-07-20T03:10:36Z INFO:     2604:2dc0:208:2271:2dbe:7836:6624:8223:0 - "GET /jobs?sort=fitScore HTTP/1.1" 200 OK
2026-07-20T03:10:36Z INFO:     2604:2dc0:208:2271:2dbe:7836:6624:8223:0 - "GET /analytics/funnel?period=7d HTTP/1.1" 200 OK
2026-07-20T03:10:36Z INFO:     2604:2dc0:208:2271:2dbe:7836:6624:8223:0 - "GET /workspaces/networking/summary HTTP/1.1" 200 OK
2026-07-20T03:10:36Z INFO:     2604:2dc0:208:2271:2dbe:7836:6624:8223:0 - "GET /analytics/market-pulse HTTP/1.1" 200 OK
2026-07-20T03:10:37Z INFO:     2604:2dc0:208:2271:2dbe:7836:6624:8223:0 - "GET /agents HTTP/1.1" 200 OK
2026-07-20T03:10:37Z INFO:     2604:2dc0:208:2271:2dbe:7836:6624:8223:0 - "GET /approvals?status=pending HTTP/1.1" 200 OK
2026-07-20T03:10:37Z INFO:     2604:2dc0:208:2271:2dbe:7836:6624:8223:0 - "GET /agents HTTP/1.1" 200 OK
2026-07-20T03:10:37Z INFO:     2604:2dc0:208:2271:2dbe:7836:6624:8223:0 - "GET /billing/entitlement HTTP/1.1" 200 OK
2026-07-20T03:10:37Z INFO:     2604:2dc0:208:2271:2dbe:7836:6624:8223:0 - "GET /workspaces/settings HTTP/1.1" 200 OK
2026-07-20T03:10:37Z INFO:     2604:2dc0:208:2271:2dbe:7836:6624:8223:0 - "GET /billing/subscription HTTP/1.1" 200 OK
2026-07-20T03:10:37Z INFO:     2604:2dc0:208:2271:2dbe:7836:6624:8223:0 - "GET /approvals?status=pending HTTP/1.1" 200 OK
2026-07-20T03:10:37Z INFO:     2604:2dc0:208:2271:2dbe:7836:6624:8223:0 - "GET /stories HTTP/1.1" 200 OK
2026-07-20T03:10:37Z INFO:     2604:2dc0:208:2271:2dbe:7836:6624:8223:0 - "GET /agents/runs HTTP/1.1" 200 OK
2026-07-20T03:10:37Z INFO:     2604:2dc0:208:2271:2dbe:7836:6624:8223:0 - "GET /jobs?sort=fitScore HTTP/1.1" 200 OK
2026-07-20T03:10:37Z INFO:     2604:2dc0:208:2271:2dbe:7836:6624:8223:0 - "GET /analytics/funnel?period=7d HTTP/1.1" 200 OK
2026-07-20T03:10:37Z INFO:     2604:2dc0:208:2271:2dbe:7836:6624:8223:0 - "GET /analytics/funnel?period=all HTTP/1.1" 200 OK
2026-07-20T03:10:37Z INFO:     2604:2dc0:208:2271:2dbe:7836:6624:8223:0 - "GET /workspaces/networking/summary HTTP/1.1" 200 OK
2026-07-20T03:10:37Z INFO:     2604:2dc0:208:2271:2dbe:7836:6624:8223:0 - "GET /analytics/market-pulse HTTP/1.1" 200 OK
2026-07-20T03:10:39Z INFO:     2604:2dc0:208:2271:2dbe:7836:6624:8223:0 - "GET /approvals?status=pending HTTP/1.1" 200 OK
2026-07-20T03:10:39Z INFO:     2604:2dc0:208:2271:2dbe:7836:6624:8223:0 - "GET /agents HTTP/1.1" 200 OK
2026-07-20T03:10:40Z INFO:     2604:2dc0:208:2271:2dbe:7836:6624:8223:0 - "GET /billing/entitlement HTTP/1.1" 200 OK
2026-07-20T03:10:40Z INFO:     2604:2dc0:208:2271:2dbe:7836:6624:8223:0 - "GET /agents HTTP/1.1" 200 OK
2026-07-20T03:10:40Z INFO:     2604:2dc0:208:2271:2dbe:7836:6624:8223:0 - "GET /workspaces/settings HTTP/1.1" 200 OK
2026-07-20T03:10:40Z INFO:     2604:2dc0:208:2271:2dbe:7836:6624:8223:0 - "GET /billing/subscription HTTP/1.1" 200 OK
2026-07-20T03:10:40Z INFO:     2604:2dc0:208:2271:2dbe:7836:6624:8223:0 - "GET /agents HTTP/1.1" 200 OK
2026-07-20T03:10:40Z INFO:     2604:2dc0:208:2271:2dbe:7836:6624:8223:0 - "GET /agents/scout/sources HTTP/1.1" 200 OK
2026-07-20T03:10:40Z INFO:     2604:2dc0:208:2271:2dbe:7836:6624:8223:0 - "GET /jobs?sort=fitScore HTTP/1.1" 200 OK
2026-07-20T03:10:42Z INFO:     NumExpr defaulting to 2 threads.
2026-07-20T03:10:42Z INFO:     2604:2dc0:208:2271:2dbe:7836:6624:8223:0 - "GET /approvals?status=pending HTTP/1.1" 200 OK
2026-07-20T03:10:42Z INFO:     2604:2dc0:208:2271:2dbe:7836:6624:8223:0 - "GET /agents HTTP/1.1" 200 OK
2026-07-20T03:10:42Z INFO:     2604:2dc0:208:2271:2dbe:7836:6624:8223:0 - "GET /agents HTTP/1.1" 200 OK
2026-07-20T03:10:42Z INFO:     2604:2dc0:208:2271:2dbe:7836:6624:8223:0 - "GET /workspaces/settings HTTP/1.1" 200 OK
2026-07-20T03:10:42Z INFO:     2604:2dc0:208:2271:2dbe:7836:6624:8223:0 - "GET /billing/entitlement HTTP/1.1" 200 OK
2026-07-20T03:10:43Z INFO:     2604:2dc0:208:2271:2dbe:7836:6624:8223:0 - "GET /billing/subscription HTTP/1.1" 200 OK
2026-07-20T03:10:43Z INFO:     2604:2dc0:208:2271:2dbe:7836:6624:8223:0 - "GET /analytics/ats-distribution HTTP/1.1" 200 OK
2026-07-20T03:10:43Z INFO:     2604:2dc0:208:2271:2dbe:7836:6624:8223:0 - "GET /analytics/agent-roi HTTP/1.1" 200 OK
2026-07-20T03:10:43Z INFO:     2604:2dc0:208:2271:2dbe:7836:6624:8223:0 - "GET /analytics/conversion?period=all HTTP/1.1" 200 OK
2026-07-20T03:10:43Z INFO:     2604:2dc0:208:2271:2dbe:7836:6624:8223:0 - "GET /analytics/funnel?period=all HTTP/1.1" 200 OK
2026-07-20T03:10:43Z INFO:     2604:2dc0:208:2271:2dbe:7836:6624:8223:0 - "GET /analytics/market-pulse HTTP/1.1" 200 OK
2026-07-20T03:10:43Z INFO:     2604:2dc0:208:2271:2dbe:7836:6624:8223:0 - "GET /analytics/dashboard?period=all HTTP/1.1" 200 OK
2026-07-20T03:10:45Z INFO:     2604:2dc0:208:2271:2dbe:7836:6624:8223:0 - "GET /agents HTTP/1.1" 200 OK
